,name,Dependts,Latest_time,Deps,Vers,Oldest_time,lifetime,Month
364,apache-airflow-providers-singularity,4,2022/11/18,2,29,2020/11/9,3,24.63333333
365,apache-airflow-providers-slack,13,2023/1/17,4,47,2020/12/9,4,25.63333333
366,apache-airflow-providers-smtp,2,2023/6/23,1,9,2023/4/2,1,2.733333333
367,apache-airflow-providers-snowflake,14,2022/6/13,6,70,2020/12/9,3,18.36666667
368,apache-airflow-providers-sqlite,8,2022/11/29,3,47,2020/12/9,3,24
369,apache-airflow-providers-ssh,13,2023/1/5,3,54,2020/12/9,4,25.23333333
370,apache-airflow-providers-tableau,5,2022/11/18,2,39,2021/2/27,2,20.96666667
371,apache-airflow-providers-telegram,8,2023/1/5,2,31,2020/12/9,4,25.23333333
372,apache-airflow-providers-trino,7,2022/6/13,6,49,2021/4/6,2,14.43333333
373,apache-airflow-providers-vertica,6,2022/11/29,4,44,2020/11/9,3,25
374,apache-airflow-providers-zendesk,4,2022/12/2,2,31,2020/11/9,3,25.1
375,apache-atlas,7,2022/11/8,1,9,2020/12/4,3,23.46666667
376,apache-iceberg,0,2022/10/29,0,3,2022/5/23,1,5.3
377,apache-libcloud,85,2023/1/9,1,69,2010/5/11,14,154.2
378,apache-skywalking,5,2021/9/13,7,10,2020/6/28,2,14.73333333
379,ape-safe,4,2022/9/27,3,17,2021/3/6,2,19
380,apexpy,6,2021/3/5,6,7,2015/11/30,7,64.06666667
381,apipkg,27,2022/6/8,0,15,2010/1/21,13,150.7
382,apispec,176,2020/9/6,31,110,2015/10/3,6,60
383,apns2,7,2020/12/30,5,14,2016/2/9,5,59.53333333
384,appdaemon,5,2022/1/17,31,51,2017/7/15,6,54.9
385,appdata,7,2023/1/25,0,13,2020/4/14,4,33.86666667
386,appdirs,2163,2020/5/11,0,8,2010/9/2,11,117.9666667
387,appengine-python-standard,4,2022/9/6,11,16,2021/1/28,2,19.53333333
